"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Feb 21 20:29:15 GMT 2024","Wed Feb 21 20:29:20 GMT 2024","5480","UI Suite","UI Test","com.github.dtitar.teamcity.ui.CreateNewProjectTest","com.github.dtitar.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateProjectManually","authorizedUserShouldBeAbleCreateProjectManually",""
"passed","Wed Feb 21 20:28:08 GMT 2024","Wed Feb 21 20:28:08 GMT 2024","89","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"failed","Wed Feb 21 20:28:00 GMT 2024","Wed Feb 21 20:28:00 GMT 2024","453","API Suite","API Test","com.github.dtitar.teamcity.api.RolesTest","com.github.dtitar.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Wed Feb 21 20:28:27 GMT 2024","Wed Feb 21 20:29:04 GMT 2024","37073","UI Suite","UI Test","com.github.dtitar.teamcity.ui.CreateNewProjectTest","com.github.dtitar.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateProjectFromRepositoryUrl","authorizedUserShouldBeAbleCreateProjectFromRepositoryUrl",""
"passed","Wed Feb 21 20:28:11 GMT 2024","Wed Feb 21 20:28:11 GMT 2024","90","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Wed Feb 21 20:28:01 GMT 2024","Wed Feb 21 20:28:01 GMT 2024","136","API Suite","API Test","com.github.dtitar.teamcity.api.RolesTest","com.github.dtitar.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"passed","Wed Feb 21 20:29:42 GMT 2024","Wed Feb 21 20:29:48 GMT 2024","5993","UI Suite","UI Test","com.github.dtitar.teamcity.ui.CreateNewBuildTypeTest","com.github.dtitar.teamcity.ui.CreateNewBuildTypeTest","userShouldBeAbleToCreateBuildTypeManually","userShouldBeAbleToCreateBuildTypeManually",""
"passed","Wed Feb 21 20:28:15 GMT 2024","Wed Feb 21 20:28:15 GMT 2024","58","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","requestWithEmptyParentProjectLocatorShouldReturnError","requestWithEmptyParentProjectLocatorShouldReturnError",""
"passed","Wed Feb 21 20:27:54 GMT 2024","Wed Feb 21 20:27:59 GMT 2024","5545","API Suite","API Test","com.github.dtitar.teamcity.api.RolesTest","com.github.dtitar.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"failed","Wed Feb 21 20:28:01 GMT 2024","Wed Feb 21 20:28:01 GMT 2024","58","API Suite","API Test","com.github.dtitar.teamcity.api.RolesTest","com.github.dtitar.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightsToCreateProject","unauthorizedUserShouldNotHaveRightsToCreateProject",""
"passed","Wed Feb 21 20:28:10 GMT 2024","Wed Feb 21 20:28:10 GMT 2024","130","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"failed","Wed Feb 21 20:28:02 GMT 2024","Wed Feb 21 20:28:02 GMT 2024","94","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
"passed","Wed Feb 21 20:28:09 GMT 2024","Wed Feb 21 20:28:09 GMT 2024","112","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"failed","Wed Feb 21 20:28:01 GMT 2024","Wed Feb 21 20:28:01 GMT 2024","128","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
"passed","Wed Feb 21 20:28:05 GMT 2024","Wed Feb 21 20:28:06 GMT 2024","94","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectIdTest","positiveProjectIdTest",""
"failed","Wed Feb 21 20:28:04 GMT 2024","Wed Feb 21 20:28:05 GMT 2024","155","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectNamesTest","negativeProjectNamesTest",""
"passed","Wed Feb 21 20:28:10 GMT 2024","Wed Feb 21 20:28:10 GMT 2024","68","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Wed Feb 21 20:28:16 GMT 2024","Wed Feb 21 20:28:16 GMT 2024","163","API Suite","API Test","com.github.dtitar.teamcity.api.BuildConfigurationTest","com.github.dtitar.teamcity.api.BuildConfigurationTest","userShouldHaveRightsToCreateBuildConfiguration","userShouldHaveRightsToCreateBuildConfiguration",""
"passed","Wed Feb 21 20:28:11 GMT 2024","Wed Feb 21 20:28:11 GMT 2024","115","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Wed Feb 21 20:28:07 GMT 2024","Wed Feb 21 20:28:07 GMT 2024","140","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Wed Feb 21 20:28:16 GMT 2024","Wed Feb 21 20:28:16 GMT 2024","73","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","requestWithNonExistentParentProjectShouldReturnError","requestWithNonExistentParentProjectShouldReturnError",""
"passed","Wed Feb 21 20:28:04 GMT 2024","Wed Feb 21 20:28:04 GMT 2024","102","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectNamesTest","negativeProjectNamesTest",""
"failed","Wed Feb 21 20:28:03 GMT 2024","Wed Feb 21 20:28:03 GMT 2024","112","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
"passed","Wed Feb 21 20:28:13 GMT 2024","Wed Feb 21 20:28:13 GMT 2024","112","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"failed","Wed Feb 21 20:28:03 GMT 2024","Wed Feb 21 20:28:03 GMT 2024","135","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
"passed","Wed Feb 21 20:28:06 GMT 2024","Wed Feb 21 20:28:06 GMT 2024","111","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectIdTest","positiveProjectIdTest",""
"passed","Wed Feb 21 20:28:12 GMT 2024","Wed Feb 21 20:28:13 GMT 2024","76","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Wed Feb 21 20:27:28 GMT 2024","Wed Feb 21 20:27:43 GMT 2024","14980","Surefire suite","Surefire test","com.github.dtitar.teamcity.api.SetupAgentTest","com.github.dtitar.teamcity.api.SetupAgentTest","authorizeAgent","authorizeAgent",""
"passed","Wed Feb 21 20:28:12 GMT 2024","Wed Feb 21 20:28:12 GMT 2024","97","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Wed Feb 21 20:29:32 GMT 2024","Wed Feb 21 20:29:41 GMT 2024","9929","UI Suite","UI Test","com.github.dtitar.teamcity.ui.CreateNewBuildTypeTest","com.github.dtitar.teamcity.ui.CreateNewBuildTypeTest","userShouldBeAbleToCreateBuildTypeByUrl","userShouldBeAbleToCreateBuildTypeByUrl",""
"passed","Wed Feb 21 20:28:05 GMT 2024","Wed Feb 21 20:28:05 GMT 2024","113","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectIdTest","positiveProjectIdTest",""
"passed","Wed Feb 21 20:28:14 GMT 2024","Wed Feb 21 20:28:14 GMT 2024","107","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","requestWithAlreadyExistentProjectNameShouldReturnError","requestWithAlreadyExistentProjectNameShouldReturnError",""
"passed","Wed Feb 21 20:25:13 GMT 2024","Wed Feb 21 20:26:20 GMT 2024","66890","Surefire suite","Surefire test","com.github.dtitar.teamcity.ui.SetupTest","com.github.dtitar.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"passed","Wed Feb 21 20:28:08 GMT 2024","Wed Feb 21 20:28:08 GMT 2024","120","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Wed Feb 21 20:28:07 GMT 2024","Wed Feb 21 20:28:07 GMT 2024","112","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Wed Feb 21 20:28:14 GMT 2024","Wed Feb 21 20:28:14 GMT 2024","199","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","requestShouldCreateProjectWithProvidedParentProject","requestShouldCreateProjectWithProvidedParentProject",""
"failed","Wed Feb 21 20:28:02 GMT 2024","Wed Feb 21 20:28:02 GMT 2024","162","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
