"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 29 11:43:11 GMT 2024","Thu Feb 29 11:43:12 GMT 2024","150","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
"passed","Thu Feb 29 11:44:45 GMT 2024","Thu Feb 29 11:44:56 GMT 2024","10777","UI Suite","UI Test","com.github.dtitar.teamcity.ui.CreateNewBuildTypeTest","com.github.dtitar.teamcity.ui.CreateNewBuildTypeTest","userShouldBeAbleToCreateBuildTypeByUrl","userShouldBeAbleToCreateBuildTypeByUrl",""
"passed","Thu Feb 29 11:43:18 GMT 2024","Thu Feb 29 11:43:18 GMT 2024","111","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Thu Feb 29 11:43:15 GMT 2024","Thu Feb 29 11:43:15 GMT 2024","114","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectIdTest","positiveProjectIdTest",""
"passed","Thu Feb 29 11:43:20 GMT 2024","Thu Feb 29 11:43:20 GMT 2024","90","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Thu Feb 29 11:43:14 GMT 2024","Thu Feb 29 11:43:14 GMT 2024","141","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectIdTest","positiveProjectIdTest",""
"passed","Thu Feb 29 11:43:19 GMT 2024","Thu Feb 29 11:43:19 GMT 2024","134","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Thu Feb 29 11:43:22 GMT 2024","Thu Feb 29 11:43:22 GMT 2024","89","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"failed","Thu Feb 29 11:43:10 GMT 2024","Thu Feb 29 11:43:10 GMT 2024","152","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
"passed","Thu Feb 29 11:43:18 GMT 2024","Thu Feb 29 11:43:18 GMT 2024","112","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
