"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Feb 24 17:51:52 GMT 2024","Sat Feb 24 17:51:52 GMT 2024","14","API Suite","API Test","com.github.dtitar.teamcity.api.BuildConfigurationTest","com.github.dtitar.teamcity.api.BuildConfigurationTest","userShouldHaveRightsToCreateBuildConfiguration","userShouldHaveRightsToCreateBuildConfiguration",""
"failed","Sat Feb 24 17:51:42 GMT 2024","Sat Feb 24 17:51:43 GMT 2024","47","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectNamesTest","negativeProjectNamesTest",""
"failed","Sat Feb 24 17:51:52 GMT 2024","Sat Feb 24 17:51:52 GMT 2024","12","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","requestWithNonExistentParentProjectShouldReturnError","requestWithNonExistentParentProjectShouldReturnError",""
"failed","Sat Feb 24 17:51:42 GMT 2024","Sat Feb 24 17:51:42 GMT 2024","16","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
"failed","Sat Feb 24 17:51:40 GMT 2024","Sat Feb 24 17:51:40 GMT 2024","55","API Suite","API Test","com.github.dtitar.teamcity.api.RolesTest","com.github.dtitar.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"failed","Sat Feb 24 17:51:43 GMT 2024","Sat Feb 24 17:51:43 GMT 2024","30","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectNamesTest","negativeProjectNamesTest",""
"failed","Sat Feb 24 17:51:42 GMT 2024","Sat Feb 24 17:51:42 GMT 2024","24","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
"failed","Sat Feb 24 17:51:44 GMT 2024","Sat Feb 24 17:51:44 GMT 2024","22","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectIdTest","positiveProjectIdTest",""
"failed","Sat Feb 24 17:51:46 GMT 2024","Sat Feb 24 17:51:46 GMT 2024","10","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"failed","Sat Feb 24 17:49:31 GMT 2024","Sat Feb 24 17:49:58 GMT 2024","26595","Surefire suite","Surefire test","com.github.dtitar.teamcity.ui.SetupTest","com.github.dtitar.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"failed","Sat Feb 24 17:51:49 GMT 2024","Sat Feb 24 17:51:49 GMT 2024","24","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"failed","Sat Feb 24 17:51:50 GMT 2024","Sat Feb 24 17:51:50 GMT 2024","7","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","requestShouldCreateProjectWithProvidedParentProject","requestShouldCreateProjectWithProvidedParentProject",""
"failed","Sat Feb 24 17:51:41 GMT 2024","Sat Feb 24 17:51:41 GMT 2024","14","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
