"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 20:46:21 GMT 2024","Sat Feb 24 20:46:21 GMT 2024","128","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectIdTest","positiveProjectIdTest",""
"passed","Sat Feb 24 20:45:42 GMT 2024","Sat Feb 24 20:45:56 GMT 2024","14431","Surefire suite","Surefire test","com.github.dtitar.teamcity.api.SetupAgentTest","com.github.dtitar.teamcity.api.SetupAgentTest","authorizeAgent","authorizeAgent",""
"passed","Sat Feb 24 20:43:29 GMT 2024","Sat Feb 24 20:44:35 GMT 2024","65848","Surefire suite","Surefire test","com.github.dtitar.teamcity.ui.SetupTest","com.github.dtitar.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"broken","Sat Feb 24 20:47:32 GMT 2024","Sat Feb 24 20:47:38 GMT 2024","5759","UI Suite","UI Test","com.github.dtitar.teamcity.ui.CreateNewProjectTest","com.github.dtitar.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateProjectManually","authorizedUserShouldBeAbleCreateProjectManually",""
"passed","Sat Feb 24 20:46:24 GMT 2024","Sat Feb 24 20:46:24 GMT 2024","138","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"failed","Sat Feb 24 20:46:17 GMT 2024","Sat Feb 24 20:46:17 GMT 2024","48","API Suite","API Test","com.github.dtitar.teamcity.api.RolesTest","com.github.dtitar.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightsToCreateProject","unauthorizedUserShouldNotHaveRightsToCreateProject",""
"passed","Sat Feb 24 20:46:24 GMT 2024","Sat Feb 24 20:46:24 GMT 2024","114","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Sat Feb 24 20:46:26 GMT 2024","Sat Feb 24 20:46:26 GMT 2024","80","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"passed","Sat Feb 24 20:46:29 GMT 2024","Sat Feb 24 20:46:30 GMT 2024","136","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","requestShouldCreateProjectWithProvidedParentProject","requestShouldCreateProjectWithProvidedParentProject",""
"passed","Sat Feb 24 20:48:01 GMT 2024","Sat Feb 24 20:48:07 GMT 2024","5234","UI Suite","UI Test","com.github.dtitar.teamcity.ui.CreateNewBuildTypeTest","com.github.dtitar.teamcity.ui.CreateNewBuildTypeTest","userShouldBeAbleToCreateBuildTypeManually","userShouldBeAbleToCreateBuildTypeManually",""
"failed","Sat Feb 24 20:46:17 GMT 2024","Sat Feb 24 20:46:17 GMT 2024","129","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
"failed","Sat Feb 24 20:46:18 GMT 2024","Sat Feb 24 20:46:18 GMT 2024","108","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
"passed","Sat Feb 24 20:46:29 GMT 2024","Sat Feb 24 20:46:29 GMT 2024","95","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
"failed","Sat Feb 24 20:46:18 GMT 2024","Sat Feb 24 20:46:18 GMT 2024","108","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","negativeProjectIdTest","negativeProjectIdTest",""
"passed","Sat Feb 24 20:46:28 GMT 2024","Sat Feb 24 20:46:28 GMT 2024","104","API Suite","API Test","com.github.dtitar.teamcity.api.CreateProjectTest","com.github.dtitar.teamcity.api.CreateProjectTest","positiveProjectNamesTest","positiveProjectNamesTest",""
